Article Title	link	Primeira fase - Leitura de títulos<br>**Critério de exclusão de títulos** = *Não tem conversação (NTC)*	Segunda fase - Leitura de abstracts<br>**Critério de exclusão** = *Não tem BDI ou não é embarcado*
BEE: Belief-Value-Aligned, Explainable, and Extensible Cognitive Framework for Conversational Agents	https://www.webofscience.com/wos/alldb/full-record/WOS:001612582300009	!	
Proposing the Digital Agenticity Theory to analyze user engagement in conversational AI chatbot☆	https://www.webofscience.com/wos/alldb/full-record/WOS:001401677900001	!	
Expectation and Expectation Gap towards intelligent properties of AI-based Conversational Agent	https://www.webofscience.com/wos/alldb/full-record/KJD:ART002440205	!	
Towards Explainable and Safe Systems for Health Data	https://www.webofscience.com/wos/alldb/full-record/WOS:001587983900494	!	
Intention model based multi-round dialogue strategies for conversational AI bots	https://www.webofscience.com/wos/alldb/full-record/WOS:000762885000004	!	
Why machines should analyse intention in natural language dialogue	https://www.webofscience.com/wos/alldb/full-record/WOS:000083567400005	!	
Modified Conversational Agent Architecture	https://www.webofscience.com/wos/alldb/full-record/WOS:000482633400080	!	
Conversational agent model in intelligent user interface	https://www.webofscience.com/wos/alldb/full-record/WOS:000235835400007	!	
Conversational agent who achieves tasks, while interacting with humans based on scenarios	https://www.webofscience.com/wos/alldb/full-record/WOS:000179731900041	!	
An intelligent conversational agent as the web virtual representative using semantic Bayesian networks	https://www.webofscience.com/wos/alldb/full-record/WOS:000240091500085	!	
Assistive Large Language Model Agents for Socially-Aware Negotiation Dialogues	https://www.webofscience.com/wos/alldb/full-record/WOS:001511154408012	!	
~~Evaluation of a BDI-based Virtual Agent for Training Child Helpline Counsellors~~	https://www.webofscience.com/wos/alldb/full-record/DRCI:DATA2022078024148309	X - NTC	-
A Study of Artificial Social Intelligence in Conversational Agents	https://www.webofscience.com/wos/alldb/full-record/WOS:000610379500061	!	
Incorporating Communicative Patterns into Ebdi Agents	https://www.webofscience.com/wos/alldb/full-record/WOS:000774749000043	! OPAAAA	
Toward a Needs-Based Architecture for 'Intelligent' Communicative Agents: Speaking with Intention	https://www.webofscience.com/wos/alldb/full-record/WOS:000418334900001	!	
Establishing Conversations as the First-Order Agent Communication Mechanism	https://www.webofscience.com/wos/alldb/full-record/PQDT:68943342	!	
Towards a conversational language for artificial agents in mixed community	https://www.webofscience.com/wos/alldb/full-record/WOS:000233298100004	!	
Around the architectural agent approach to model conversations	https://www.webofscience.com/wos/alldb/full-record/WOS:A1995BE73H00012	!	
Animating groups of socially intelligent agents	https://www.webofscience.com/wos/alldb/full-record/WOS:000251847300020	! - intessante	
Research on speech interaction of affective robot	https://www.webofscience.com/wos/alldb/full-record/WOS:000235128600077	! - OPAAAA	
Multiagent architecture for telerobotics	https://www.webofscience.com/wos/alldb/full-record/WOS:000228130900027	!	
AI-generated recommendations: Roles of language style, perceived AI human-likeness, and recommendation agent	https://www.webofscience.com/wos/alldb/full-record/WOS:001402901900001	!	
Knowledge-Based and Generative-AI-Driven Pedagogical Conversational Agents: A Comparative Study of Grice's Cooperative Principles and Trust	https://www.webofscience.com/wos/alldb/full-record/WOS:001149465100001	!	
Lower than expected but still willing to use: User acceptance toward current intelligent conversational agents	https://www.webofscience.com/wos/alldb/full-record/WOS:001314057600001	!	
A Multi-Agent Chatbot Architecture for AI-Driven Language Learning	https://www.webofscience.com/wos/alldb/full-record/WOS:001593465600001	! - interessante	
Nunchi-Aware Multi-Agent Chatbots for Socially Contextual Response Generation	https://www.webofscience.com/wos/alldb/full-record/WOS:001588601200022	!	
Leveraging Dual Process Theory in Language Agent Framework for Real-time Simultaneous Human-AI Collaboration	https://www.webofscience.com/wos/alldb/full-record/WOS:001596029800206	!	
Automated Creation of an Intent Model for Conversational Agents	https://www.webofscience.com/wos/alldb/full-record/WOS:000918159800001	!	
Conversational AI: Dialogue Systems, Conversational Agents, and Chatbots	https://www.webofscience.com/wos/alldb/full-record/WOS:000993797000009	!	
~~A Research Landscape of Agentic AI and Large Language Models: Applications, Challenges and Future Directions~~	https://www.webofscience.com/wos/alldb/full-record/WOS:001557176700001	X - NTC	-
A Cognitive BDI-BiLSTM Hybrid Framework for Interpretable Email Threat Detection	https://www.webofscience.com/wos/alldb/full-record/WOS:001641531500041	!	
Humanlike Conversational Artificial Intelligence Agents for Foreign or Second Language Learning: User Perceptions, Expectations, And Interactions with Agents	https://www.webofscience.com/wos/alldb/full-record/PQDT:68467171	!	
Evaluating Human-AI Hybrid Conversational Systems with Chatbot Message Suggestions	https://www.webofscience.com/wos/alldb/full-record/WOS:001054156200056	!	
Tell Me More! Towards Implicit User Intention Understanding of Language Model Driven Agents	https://www.webofscience.com/wos/alldb/full-record/WOS:001356729801012	!	
Intelligent Conversational Agents	https://www.webofscience.com/wos/alldb/full-record/WOS:000917936600001	!	
KRISTINA: A Knowledge-Based Virtual Conversation Agent	https://www.webofscience.com/wos/alldb/full-record/WOS:000434609600023	!	
A Structured Prompting based on Belief-Desire-Intention Model for Proactive and Explainable Task Planning	https://www.webofscience.com/wos/alldb/full-record/WOS:001148034200050	!	
A Values-based Dialogue Strategy to Build Motivation for Conversation with Autonomous Conversational Robots	https://www.webofscience.com/wos/alldb/full-record/WOS:000390682500028	!	
An Agent-Based Dialogical Model with Fuzzy Attitudes	https://www.webofscience.com/wos/alldb/full-record/WOS:000369643200003	!	
An Agent-based Dialog System for adaptive and multimodal Interface: a Case study	https://www.webofscience.com/wos/alldb/full-record/WOS:000292278900107	!	
~~Intention Revision of Plan-Based Agents for Narrative Generation~~	https://www.webofscience.com/wos/alldb/full-record/PQDT:60288696	X - NTC	-
